j,name,Hc_0C,Hc_15C,Hc_15.55C,Hc_20C,Hc_25C,u_Hc
1,methane,892.92,891.51,891.46,891.05,890.58,0.19
2,ethane,1564.35,1562.14,1562.06,1561.42,1560.69,0.51
3,propane,2224.03,2221.10,2220.99,2220.13,2219.17,0.51
4,n-butane,2883.35,2879.76,2879.63,2878.58,2877.40,0.72
5,2-methylpropane,2874.21,2870.58,2870.45,2869.39,2868.20,0.72
6,n-pentane,3542.91,3538.60,3538.45,3537.19,3535.77,0.23
7,2-methylbutane,3536.01,3531.68,3531.52,3530.25,3528.83,0.23
8,"2,2-dimethylpropane",3521.75,3517.44,3517.28,3516.02,3514.61,0.25
9,n-hexane,4203.24,4198.24,4198.06,4196.60,4194.95,0.32
10,2-methylpentane,4195.64,4190.62,4190.44,4188.97,4187.32,0.53
11,3-methylpentane,4198.27,4193.22,4193.04,4191.56,4189.90,0.53
12,"2,2-dimethylbutane",4185.86,4180.83,4180.65,4179.17,4177.52,0.48
13,"2,3-dimethylbutane",4193.68,4188.61,4188.43,4186.94,4185.28,0.46
14,n-heptane,4862.88,4857.18,4856.98,4855.31,4853.43,0.67
15,n-octane,5522.41,5516.01,5515.78,5513.90,5511.80,0.76
16,n-nonane,6182.92,6175.82,6175.56,6173.48,6171.15,0.81
17,n-decane,6842.69,6834.90,6834.62,6832.33,6829.77,0.87
56,n-undecane,7502.22,7493.73,7493.42,7490.93,7488.14,1.54
57,n-dodecane,8162.43,8153.24,8152.91,8150.21,8147.19,1.13
58,n-tridecane,8821.88,8811.99,8811.63,8808.73,8805.48,1.21
59,n-tetradecane,9481.71,9471.12,9470.73,9467.63,9464.15,1.32
60,n-pentadecane,10141.65,10130.23,10129.82,10126.52,10122.82,1.44
18,ethene,1413.55,1412.12,1412.07,1411.65,1411.18,0.21
19,propene,2061.57,2059.43,2059.35,2058.73,2058.02,0.34
20,1-butene,2721.57,2718.71,2718.60,2717.76,2716.82,0.39
21,cis-2-butene,2714.88,2711.94,2711.83,2710.97,2710.00,0.50
22,trans-2-butene,2711.09,2708.26,2708.16,2707.33,2706.40,0.47
23,2-methylpropene,2704.88,2702.06,2701.96,2701.13,2700.20,0.42
24,1-pentene,3381.32,3377.76,3377.63,3376.59,3375.42,0.73
25,propadiene,1945.26,1943.97,1943.92,1943.54,1943.11,0.60
26,"1,2-butadiene",2597.15,2595.12,2595.05,2594.46,2593.79,0.40
27,"1,3-butadiene",2544.14,2542.11,2542.03,2541.44,2540.77,0.41
28,ethyne,1301.86,1301.37,1301.35,1301.21,1301.05,0.32
29,cyclopentane,3326.14,3322.19,3322.05,3320.89,3319.59,0.36
30,methylcyclopentane,3977.05,3972.46,3972.29,3970.95,3969.44,0.56
31,ethylcyclopentane,4637.20,4631.93,4631.74,4630.20,4628.47,0.71
32,cyclohexane,3960.68,3956.02,3955.85,3954.49,3952.96,0.32
33,methylcyclohexane,4609.33,4604.08,4603.89,4602.36,4600.64,0.71
34,ethylcyclohexane,5272.76,5266.90,5266.69,5264.97,5263.05,0.95
35,benzene,3305.12,3302.90,3302.81,3302.16,3301.43,0.27
36,toluene,3952.77,3949.83,3949.72,3948.86,3947.89,0.51
37,ethylbenzene,4613.16,4609.44,4609.30,4608.34,4607.15,0.66
38,o-xylene,4602.18,4598.64,4598.52,4597.48,4596.31,0.76
39,methanol,766.60,765.09,765.03,764.59,764.09,0.13
40,methanethiol,1241.64,1240.28,1240.23,1239.84,1239.39,0.32
41,hydrogen,286.64,286.15,286.13,285.99,285.83,0.02
42,water,45.064,44.431,44.408,44.222,44.013,0.004
43,hydrogen sulfide,562.93,562.38,562.36,562.19,562.01,0.23
44,ammonia,384.57,383.51,383.47,383.16,382.81,0.18
45,hydrogen cyanide,671.92,671.67,671.66,671.58,671.50,1.26
46,carbon monoxide,282.80,282.91,282.91,282.95,282.98,0.06
47,carbonyl sulfide,548.01,548.14,548.15,548.19,548.23,0.24
48,carbon disulfide,1104.05,1104.32,1104.33,1104.40,1104.49,0.43
