j,name,molar_mass_kg_per_kmol,a,b,c,d,e
1,methane,16.04246,1,4,0,0,0
2,ethane,30.06904,2,6,0,0,0
3,propane,44.09562,3,8,0,0,0
4,n-butane,58.12220,4,10,0,0,0
5,2-methylpropane,58.12220,4,10,0,0,0
6,n-pentane,72.14878,5,12,0,0,0
7,2-methylbutane,72.14878,5,12,0,0,0
8,"2,2-dimethylpropane",72.14878,5,12,0,0,0
9,n-hexane,86.17536,6,14,0,0,0
10,2-methylpentane,86.17536,6,14,0,0,0
11,3-methylpentane,86.17536,6,14,0,0,0
12,"2,2-dimethylbutane",86.17536,6,14,0,0,0
13,"2,3-dimethylbutane",86.17536,6,14,0,0,0
14,n-heptane,100.20194,7,16,0,0,0
15,n-octane,114.22852,8,18,0,0,0
16,n-nonane,128.25510,9,20,0,0,0
17,n-decane,142.28168,10,22,0,0,0
56,n-undecane,156.30826,11,24,0,0,0
57,n-dodecane,170.33484,12,26,0,0,0
58,n-tridecane,184.36142,13,28,0,0,0
59,n-tetradecane,198.38800,14,30,0,0,0
60,n-pentadecane,212.41458,15,32,0,0,0
18,ethene,28.05316,2,4,0,0,0
19,propene,42.07974,3,6,0,0,0
20,1-butene,56.10632,4,8,0,0,0
21,cis-2-butene,56.10632,4,8,0,0,0
22,trans-2-butene,56.10632,4,8,0,0,0
23,2-methylpropene,56.10632,4,8,0,0,0
24,1-pentene,70.13290,5,10,0,0,0
25,propadiene,40.06386,3,4,0,0,0
26,"1,2-butadiene",54.09044,4,6,0,0,0
27,"1,3-butadiene",54.09044,4,6,0,0,0
28,ethyne,26.03728,2,2,0,0,0
29,cyclopentane,70.13290,5,10,0,0,0
30,methylcyclopentane,84.15948,6,12,0,0,0
31,ethylcyclopentane,98.18606,7,14,0,0,0
32,cyclohexane,84.15948,6,12,0,0,0
33,methylcyclohexane,98.18606,7,14,0,0,0
34,ethylcyclohexane,112.21264,8,16,0,0,0
35,benzene,78.11184,6,6,0,0,0
36,toluene,92.13842,7,8,0,0,0
37,ethylbenzene,106.16500,8,10,0,0,0
38,o-xylene,106.16500,8,10,0,0,0
39,methanol,32.04186,1,4,0,1,0
40,methanethiol,48.10746,1,4,0,0,1
41,hydrogen,2.01588,0,2,0,0,0
42,water,18.01528,0,2,0,1,0
43,hydrogen sulfide,34.08088,0,2,0,0,1
44,ammonia,17.03052,0,3,1,0,0
45,hydrogen cyanide,27.02534,1,1,1,0,0
46,carbon monoxide,28.01010,1,0,0,1,0
47,carbonyl sulfide,60.0751,1,0,0,1,1
48,carbon disulfide,76.1407,1,0,0,0,2
49,helium,4.002602,0,0,0,0,0
50,neon,20.1797,0,0,0,0,0
51,argon,39.948,0,0,0,0,0
52,nitrogen,28.0134,0,0,2,0,0
53,oxygen,31.9988,0,0,0,2,0
54,carbon dioxide,44.0095,1,0,0,2,0
55,sulfur dioxide,64.0638,0,0,0,2,1
