j,name,s_0C,s_15C,s_15.55C,s_20C,u_s
1,methane,0.04886,0.04452,0.04437,0.04317,0.0005
2,ethane,0.0997,0.0919,0.0916,0.0895,0.0011
3,propane,0.1465,0.1344,0.1340,0.1308,0.0016
4,n-butane,0.2022,0.1840,0.1834,0.1785,0.0039
5,2-methylpropane,0.1885,0.1722,0.1717,0.1673,0.0031
6,n-pentane,0.2586,0.2361,0.2354,0.2295,0.0107
7,2-methylbutane,0.2458,0.2251,0.2244,0.2189,0.0088
8,"2,2-dimethylpropane",0.2245,0.2040,0.2033,0.1979,0.0060
9,n-hexane,0.3319,0.3001,0.2990,0.2907,0.0271
10,2-methylpentane,0.3114,0.2826,0.2816,0.2740,0.0221
11,3-methylpentane,0.2997,0.2762,0.2754,0.2690,0.0234
12,"2,2-dimethylbutane",0.2530,0.2350,0.2344,0.2295,0.0173
13,"2,3-dimethylbutane",0.2836,0.2632,0.2625,0.2569,0.0207
14,n-heptane,0.4076,0.3668,0.3654,0.3547,0.1001
15,n-octane,0.4845,0.4346,0.4329,0.4198,0.1002
16,n-nonane,0.5617,0.5030,0.5010,0.4856,0.1006
17,n-decane,0.6713,0.5991,0.5967,0.5778,0.1006
56,n-undecane,0.7228,0.6402,0.6374,0.6159,0.1006
57,n-dodecane,0.8567,0.7615,0.7585,0.7335,0.1006
58,n-tridecane,0.9129,0.8061,0.8026,0.7748,0.1006
59,n-tetradecane,1.0135,0.8940,0.8900,0.8589,0.1006
60,n-pentadecane,1.1176,0.9849,0.9804,0.9459,0.1006
18,ethene,0.0868,0.0799,0.0797,0.0778,0.0010
19,propene,0.1381,0.1267,0.1263,0.1232,0.0016
20,1-butene,0.1964,0.1776,0.1770,0.1721,0.0041
21,cis-2-butene,0.2075,0.1870,0.1863,0.1810,0.0045
22,trans-2-butene,0.2072,0.1868,0.1862,0.1809,0.0043
23,2-methylpropene,0.1966,0.1777,0.1770,0.1721,0.0037
24,1-pentene,0.2622,0.2297,0.2287,0.2208,0.0102
25,propadiene,0.1417,0.1313,0.1310,0.1282,0.0025
26,"1,2-butadiene",0.2063,0.1862,0.1855,0.1803,0.0110
27,"1,3-butadiene",0.1993,0.1739,0.1731,0.1673,0.0038
28,ethyne,0.0936,0.0836,0.0833,0.0808,0.0024
29,cyclopentane,0.2409,0.2221,0.2215,0.2164,0.0137
30,methylcyclopentane,0.2817,0.2612,0.2605,0.2548,0.0262
31,ethylcyclopentane,0.4227,0.3684,0.3666,0.3531,0.1006
32,cyclohexane,0.2939,0.2686,0.2677,0.2610,0.0325
33,methylcyclohexane,0.3667,0.3317,0.3305,0.3213,0.0668
34,ethylcyclohexane,0.5275,0.4547,0.4525,0.4345,0.1006
35,benzene,0.2752,0.2527,0.2520,0.2460,0.0274
36,toluene,0.3726,0.3359,0.3347,0.3251,0.1002
37,ethylbenzene,0.4129,0.3797,0.3785,0.3694,0.1002
38,o-xylene,0.4852,0.4411,0.4396,0.4277,0.1004
39,methanol,0.5806,0.4464,0.4423,0.4117,0.0233
40,methanethiol,0.1909,0.1700,0.1693,0.1640,0.0117
41,hydrogen,-0.01,-0.01,-0.01,-0.01,0.0250
42,water,0.3093,0.2562,0.2546,0.2419,0.0150
43,hydrogen sulfide,0.1006,0.0923,0.0920,0.0898,0.0023
44,ammonia,0.1230,0.1106,0.1096,0.1062,0.0021
45,hydrogen cyanide,0.3175,0.2765,0.2751,0.2644,0.0076
46,carbon monoxide,0.0258,0.0217,0.0215,0.0203,0.0010
47,carbonyl sulfide,0.1211,0.1114,0.1110,0.1084,0.0054
48,carbon disulfide,0.2182,0.1958,0.1951,0.1894,0.0098
49,helium,-0.01,-0.01,-0.01,-0.01,0.0250
50,neon,-0.01,-0.01,-0.01,-0.01,0.0250
51,argon,0.0307,0.0273,0.0272,0.0262,0.0010
52,nitrogen,0.0214,0.0170,0.0169,0.0156,0.0010
53,oxygen,0.0311,0.0276,0.0275,0.0265,0.0010
54,carbon dioxide,0.0821,0.0752,0.0749,0.0730,0.0020
55,sulfur dioxide,0.1579,0.1406,0.1400,0.1356,0.0035
